<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
TSRO,D,20170824,121.9,127.28,120.08,125.85,1013600
TST,D,20170824,0.82,0.839,0.815,0.839,18700
TTD,D,20170824,50.49,51.88,50.06,51,885300
TTEC,D,20170824,40,40.15,39.4,39.6,66800
TTEK,D,20170824,40.4,40.75,40.25,40.45,188900
TTGT,D,20170824,9.62,9.71,9.55,9.66,74200
TTMI,D,20170824,13.3,13.58,13.26,13.56,1596000
TTNP,D,20170824,1.65,1.69,1.505,1.65,251100
TTOO,D,20170824,4.18,4.31,3.99,4.12,84700
TTPH,D,20170824,6.07,6.48,6.06,6.41,933100
TTS,D,20170824,14.8,15.25,14.75,15.2,497200
TTWO,D,20170824,94.82,95.7,93.69,95.25,1207800
TUES,D,20170824,1.85,2.2,1.85,2,2612600
TUR,D,20170824,45.73,45.91,45.35,45.43,180200
TURN,D,20170824,1.59,1.65,1.57,1.6,53500
TUSA,D,20170824,29.72,29.72,29.72,29.72,0
TUSK,D,20170824,12.6,13.06,12.51,12.86,165200
TUTI,D,20170824,22.76,22.78,22.73,22.78,5700
TUTT,D,20170824,22.64,22.69,22.62,22.62,5300
TVIX,D,20170824,16.83,18.62,16.58,17.9,37291500
TVIZ,D,20170824,13.94,14.6,13.84,14.35,37000
TVTY,D,20170824,37.75,37.75,36.95,37.2,321000
TWIN,D,20170824,16.78,16.89,16.32,16.83,24700
TWMC,D,20170824,1.6,1.6,1.6,1.6,1100
TWNK,D,20170824,13.39,13.45,13.22,13.3,766200
TWNKW,D,20170824,1.95,1.95,1.89,1.89,700
TWOU,D,20170824,49.28,49.48,48.84,49.33,168300
TXN,D,20170824,81.16,81.495,80.82,81.25,3511100
TXRH,D,20170824,48.1,48.33,47.65,47.71,266800
TYHT,D,20170824,2.32,2.39,2.3,2.31,18000
TYME,D,20170824,6.5,6.5,6.035,6.35,9500
TYPE,D,20170824,18.35,18.4,18.2,18.3,340000
TZOO,D,20170824,8.7,8.75,8.6,8.6,10700
UAE,D,20170824,17.655,17.73,17.64,17.64,15500
UBCP,D,20170824,11.75,11.81,11.75,11.81,3700
UBFO,D,20170824,9.3,9.3,9.15,9.25,6100
UBIO,D,20170824,31.1,32.32,30.96,32.15,115500
UBNK,D,20170824,17.07,17.13,16.865,17.1,37100
UBNT,D,20170824,66.26,66.44,64.75,64.87,423900
UBOH,D,20170824,21.65,21.65,21.65,21.65,100
UBSH,D,20170824,31.63,31.84,31.16,31.62,195000
UBSI,D,20170824,33.35,33.35,33.05,33.25,496000
UCBA,D,20170824,19,19,18.95,19,1400
UCBI,D,20170824,26.21,26.24,25.91,26.13,282200
UCFC,D,20170824,8.99,9.06,8.92,9.03,35300
UCTT,D,20170824,22.89,23.06,22.24,22.48,685500
UDBI,D,20170824,29.3,29.3,29.3,29.3,0
UEIC,D,20170824,56.6,57.7,55.75,57.35,76800
UEPS,D,20170824,9.39,9.91,9.39,9.73,188500
UFCS,D,20170824,42.82,42.97,42.53,42.7,36100
UFPI,D,20170824,80.44,81.25,79.725,80.81,98500
UFPT,D,20170824,27.6,27.65,27.3,27.4,11100
UG,D,20170824,17,17,16.775,16.775,1700
UGLD,D,20170824,11.06,11.126,11,11.025,274600
UHAL,D,20170824,365.48,365.48,357.675,358.2,70300
UIHC,D,20170824,16.25,16.43,16.11,16.36,76300
ULBI,D,20170824,6.4,6.4,6.3,6.35,11400
ULH,D,20170824,14.4,14.65,14.4,14.55,2400
ULTA,D,20170824,240,247.3,233.02,233.71,2884700
ULTI,D,20170824,199.16,199.16,194.5,195.67,293800
UMBF,D,20170824,66.39,66.97,65.69,66.71,187900
UMPQ,D,20170824,17.41,17.41,17.23,17.34,498800
UNAM,D,20170824,9.85,10.2,9.85,10.2,2800
UNB,D,20170824,41.45,41.9,40.25,41.9,1000
UNFI,D,20170824,35.63,36.01,33.41,33.75,1660100
UNIT,D,20170824,19.42,19.79,19.39,19.41,1514200
UNTY,D,20170824,17.75,17.95,17.7,17.7,7800
UNXL,D,20170824,0.2,0.25,0.195,0.248,2745100
UONE,D,20170824,1.75,1.75,1.75,1.75,0
UONEK,D,20170824,1.65,1.75,1.65,1.65,23700
UPL,D,20170824,8.33,8.51,7.955,8.03,2760800
UPLD,D,20170824,23.52,23.7,23.21,23.42,60500
URBN,D,20170824,20.08,20.49,19.855,20,5386600
URGN,D,20170824,18.05,18.05,17.14,17.37,29700
USAK,D,20170824,9.8,9.91,9.57,9.67,69300
USAP,D,20170824,18.05,18.05,17.31,17.73,36200
USAT,D,20170824,5.4,5.55,5.3,5.5,668500
USATP,D,20170824,24.56,24.61,24.56,24.61,300
USAU,D,20170824,2.45,2.45,2.25,2.28,116100
USCR,D,20170824,75.85,75.875,72.6,72.7,372900
USEG,D,20170824,0.76,0.79,0.72,0.75,17300
USLB,D,20170824,29.11,29.22,29.1,29.22,3300
USLM,D,20170824,79.15,79.3,78.13,79.12,3800
USLV,D,20170824,12.31,12.37,12.08,12.28,1835800
USOI,D,20170824,22.68,22.68,22.63,22.63,1100
UTHR,D,20170824,130.69,131,129.11,129.86,332700
UTMD,D,20170824,70.6,70.9,70.2,70.35,5000
UTSI,D,20170824,2.05,2.07,2.02,2.03,28200
UVSP,D,20170824,29.45,29.45,28.95,29.2,28600
VALU,D,20170824,15.11,16.51,15.11,16.5,5700
VALX,D,20170824,26.65,26.65,26.65,26.65,100
VBFC,D,20170824,31.75,31.75,31.75,31.75,0
VBIV,D,20170824,3.37,3.45,3.33,3.41,60100
VBLT,D,20170824,5.05,5.1,4.715,5.05,19300
VBND,D,20170824,49.965,50.09,49.965,50.079,14600
VBTX,D,20170824,26.08,26.31,25.83,26.11,131100
VCEL,D,20170824,3.45,3.55,3.4,3.45,309000
VCIT,D,20170824,88.18,88.22,88.1,88.11,684600
VCLT,D,20170824,93.9,93.95,93.57,93.72,188500
VCSH,D,20170824,80.23,80.27,80.205,80.23,1195100
VCYT,D,20170824,7.97,8.02,7.68,7.82,65300
VDSI,D,20170824,12,12.3,12,12.25,114200
VDTH,D,20170824,9.2,9.36,9.05,9.07,66300
