<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AAAP,D,20170824,48.26,49.05,48.09,48.9,25600
AABA,D,20170824,66.06,66.2,65.34,65.5,4055700
AAL,D,20170824,44.13,44.15,42.67,42.92,7057400
AAME,D,20170824,3.4,3.4,3.305,3.4,1800
AAOI,D,20170824,64.79,64.9,61.72,62.39,2697100
AAON,D,20170824,31.9,32,31.45,31.8,74300
AAPC,D,20170824,10.6,10.6,10.6,10.6,0
AAPL,D,20170824,160.43,160.74,158.55,159.27,19818900
AAWW,D,20170824,63.3,63.45,62.5,63.25,162500
AAXJ,D,20170824,71.72,71.89,71.46,71.8,5299400
AAXN,D,20170824,21.81,22.09,21.75,21.85,495800
ABAC,D,20170824,2.17,2.2,2.06,2.14,5400
ABAX,D,20170824,46.17,46.62,45.97,46.05,85900
ABCB,D,20170824,44,44.9,43.65,44.4,215800
ABCD,D,20170824,5.15,5.19,5.12,5.16,21400
ABCO,D,20170824,51.5,51.65,50.7,51,320800
ABDC,D,20170824,10.52,10.7,10.41,10.43,49000
ABEO,D,20170824,8.85,9.7,8.85,9.6,855600
ABEOW,D,20170824,4.7,5.15,4.66,4.81,11500
ABIL,D,20170824,0.7,0.98,0.69,0.84,1226900
ABIO,D,20170824,1.15,1.2,1.1,1.15,50200
ABMD,D,20170824,153.31,153.81,148.76,148.93,518900
ABTL,D,20170824,7.95,7.99,7.7,7.75,77700
ABTX,D,20170824,35.4,35.7,35.25,35.6,27800
ABUS,D,20170824,3.7,3.85,3.7,3.8,97500
ABY,D,20170824,21.36,21.41,21.05,21.13,320300
ACAD,D,20170824,31.99,32.88,31.98,32.82,1013100
ACBI,D,20170824,17.45,17.55,17.375,17.5,84700
ACET,D,20170824,16.05,16.08,15.9,16.04,179500
ACFC,D,20170824,8.24,8.365,8.2,8.35,17000
ACGL,D,20170824,97.21,97.22,96.39,96.7,707600
ACGLP,D,20170824,24.62,24.69,24.61,24.62,48300
ACHC,D,20170824,47.52,47.95,45.52,45.55,1268300
ACHN,D,20170824,4.83,4.97,4.78,4.96,846700
ACHV,D,20170824,2.65,2.86,2.62,2.625,13800
ACIA,D,20170824,46.46,50.1,46.44,48.22,2245000
ACIU,D,20170824,8.07,8.08,7.57,7.9,18300
ACIW,D,20170824,21.83,22.01,21.73,21.95,283500
ACLS,D,20170824,20.3,20.45,19.95,20.1,170700
ACNB,D,20170824,26.35,26.6,26.25,26.45,4600
ACOR,D,20170824,22.65,23.05,22.35,23,462300
ACRS,D,20170824,25.81,26.43,25.6,25.82,355100
ACRX,D,20170824,3.05,3.05,2.95,2.975,728000
ACSF,D,20170824,11.5,11.6,11.4,11.55,58000
ACST,D,20170824,1.3,1.33,1.29,1.33,11500
ACTA,D,20170824,12.65,12.65,12.35,12.45,125100
ACTG,D,20170824,3.15,3.6,3.1,3.45,838800
ACTX,D,20170824,15.17,15.17,15.17,15.17,300
ACWI,D,20170824,67,67.05,66.74,66.79,4048500
ACWX,D,20170824,47.16,47.19,47.03,47.06,280100
ACXM,D,20170824,22.41,22.8,22.38,22.74,536500
ADAP,D,20170824,5.26,5.345,5.16,5.25,63300
ADBE,D,20170824,151.22,151.83,149.17,150.81,1449400
ADES,D,20170824,10.23,10.47,10.15,10.29,92000
ADHD,D,20170824,1.02,1.045,0.974,1.02,49700
ADI,D,20170824,79.35,79.44,78.83,79.27,1316800
ADMA,D,20170824,3.01,3.13,2.87,3.11,11800
ADMP,D,20170824,5.3,5.5,5.26,5.35,530600
ADMS,D,20170824,15.29,15.44,14.2,14.23,1939000
ADOM,D,20170824,12.7,13,12.27,12.87,79000
ADP,D,20170824,103.6,105.21,103.36,104.59,3041300
ADRA,D,20170824,32.65,32.65,32.65,32.65,1000
ADRD,D,20170824,22.16,22.16,22.04,22.065,3600
ADRE,D,20170824,42.64,42.67,42.39,42.54,4700
ADRO,D,20170824,11.3,11.625,11.1,11.3,507100
ADRU,D,20170824,21.68,21.68,21.68,21.68,0
ADSK,D,20170824,110.58,111.25,109.04,110.61,3128400
ADTN,D,20170824,21.85,22.15,21.65,22.05,308100
ADUS,D,20170824,33.1,33.1,31.95,32.05,40800
ADVM,D,20170824,2.5,2.75,2.45,2.7,592000
ADXS,D,20170824,6.24,6.45,6.15,6.37,354200
ADXSW,D,20170824,2.945,3,2.945,2.976,2100
AEGN,D,20170824,20.6,20.69,20.44,20.56,127300
AEHR,D,20170824,3.35,3.57,3.31,3.46,105600
AEIS,D,20170824,70.94,71.69,70.25,71.23,212400
AEMD,D,20170824,1.49,1.53,1.42,1.5,33800
AERI,D,20170824,52.2,53.2,51.65,52.85,198100
AETI,D,20170824,1.55,1.6,1.5,1.55,1100
AEY,D,20170824,1.35,1.38,1.32,1.33,12100
AEZS,D,20170824,1.85,1.85,1.8,1.81,168500
AFAM,D,20170824,48.4,48.75,46.95,47.05,158600
AFH,D,20170824,16.35,16.9,16.35,16.5,38300
AFHBL,D,20170824,25.72,25.72,25.64,25.71,800
AFMD,D,20170824,1.95,2.05,1.95,1.95,66500
AFSI,D,20170824,13.45,13.625,13.304,13.5,866500
AGEN,D,20170824,3.62,3.715,3.595,3.71,508600
AGFS,D,20170824,7.1,7.18,6.98,7,89000
AGFSW,D,20170824,0.58,0.69,0.58,0.69,700
AGII,D,20170824,60.4,60.7,59.45,60.2,255300
AGIIL,D,20170824,25.44,25.46,25.43,25.45,3600
AGIO,D,20170824,57.27,58.74,56.94,58.39,392300
AGLE,D,20170824,3.07,3.14,2.96,3.11,26000
AGNC,D,20170824,21.6,21.7,21.51,21.66,2285900
AGNCB,D,20170824,25.76,25.77,25.71,25.76,14500
AGNCP,D,20170824,25.3,25.31,25.29,25.3,24400
AGND,D,20170824,43.12,43.12,43.12,43.12,200
AGRX,D,20170824,3.32,3.37,3.28,3.33,117400
AGTC,D,20170824,4.6,4.65,4.55,4.6,71100
AGYS,D,20170824,10.06,10.19,10.05,10.13,13700
AGZD,D,20170824,47.83,47.92,47.79,47.92,600
AHGP,D,20170824,25.78,26.35,25.59,26.15,82800
AHPA,D,20170824,9.99,10,9.99,9.99,51300
AHPAU,D,20170824,10.39,10.39,10.39,10.39,0
AHPAW,D,20170824,0.4,0.4,0.4,0.4,0
AHPI,D,20170824,2.06,2.06,2.03,2.03,2500
AIA,D,20170824,60.77,60.85,60.66,60.8,33100
AIMC,D,20170824,44.6,45.025,44.35,44.6,120400
AIMT,D,20170824,19.29,20.16,19.01,20.09,127600
AINV,D,20170824,6.16,6.18,6.085,6.09,1009900
AIRG,D,20170824,9.98,11.47,9.79,11.1,485500
AIRR,D,20170824,22.7,22.7,22.56,22.63,29600
AIRT,D,20170824,16.55,16.55,16.55,16.55,100
AKAM,D,20170824,45.51,45.67,45.1,45.23,1202500
AKAO,D,20170824,18.85,19.54,18.53,19.49,617200
AKBA,D,20170824,15.13,15.865,15.13,15.81,536900
AKCA,D,20170824,17.33,19.5,16.9,18.87,437400
AKER,D,20170824,0.96,0.99,0.9,0.98,53800
AKRX,D,20170824,32.33,32.47,32.31,32.36,3008300
AKTS,D,20170824,6.24,6.6,6.03,6.52,58500
AKTX,D,20170824,3.46,3.76,3.28,3.66,39600
ALBO,D,20170824,23.91,24.62,23.9,24.47,4000
ALCO,D,20170824,31.55,31.6,31.2,31.6,4300
ALDR,D,20170824,9.45,9.85,9.35,9.75,955800
ALDX,D,20170824,4.1,4.2,4.05,4.175,11400
ALGN,D,20170824,174,175.96,173.35,175.31,926300
ALGT,D,20170824,115.9,116.115,114.35,115.15,144500
ALIM,D,20170824,1.38,1.41,1.38,1.39,75600
ALJJ,D,20170824,3.09,3.09,3.02,3.02,17600
ALKS,D,20170824,50.31,50.61,50.25,50.49,745800
ALLT,D,20170824,4.89,4.94,4.87,4.92,12700
ALNY,D,20170824,85.04,85.77,83.6,83.99,816100
ALOG,D,20170824,70.45,71.125,70.45,70.95,29800
ALOT,D,20170824,13.57,13.75,13.45,13.65,19100
ALPN,D,20170824,7.92,8.5,7.6,8.465,37000
ALQA,D,20170824,0.25,0.32,0.23,0.285,2305600
ALRM,D,20170824,43.27,44.28,43.04,43.33,657600
ALRN,D,20170824,11.45,12.15,11.43,12.15,18800
ALSK,D,20170824,2.15,2.23,2.15,2.21,178400
ALT,D,20170824,2.17,2.28,2.09,2.17,63600
ALTY,D,20170824,15.52,15.61,15.52,15.6,2200
ALXN,D,20170824,135.91,138,135.62,137.78,1094300
AMAG,D,20170824,17.4,17.85,17.35,17.5,558200
AMAT,D,20170824,44.3,44.31,43.25,43.72,9252900
AMBA,D,20170824,53.33,53.94,52.34,52.44,601800
AMBC,D,20170824,18.46,18.54,18.22,18.31,117700
AMBCW,D,20170824,9.08,9.08,9.08,9.08,0
AMCA,D,20170824,24.69,24.69,24.69,24.69,0
AMCN,D,20170824,2.6,2.6,2.52,2.53,116400
AMCX,D,20170824,59.87,60.13,59.44,59.56,489100
AMD,D,20170824,12.69,12.71,12.39,12.5,37269600
AMDA,D,20170824,0.331,0.338,0.315,0.315,282100
AMED,D,20170824,49.83,50.14,49.36,49.38,206100
AMGN,D,20170824,169.28,170.69,168.57,169.95,1922400
AMKR,D,20170824,8.7,8.79,8.6,8.71,899400
AMMA,D,20170824,1.73,1.85,1.35,1.62,354900
AMNB,D,20170824,36.045,36.6,36.045,36.25,4700
AMOT,D,20170824,24.58,25,24.35,24.75,11000
AMPH,D,20170824,15.44,15.67,15.42,15.43,119000
AMRB,D,20170824,13.54,13.54,13.3,13.3,3000
AMRI,D,20170824,21.72,21.74,21.71,21.72,520100
AMRK,D,20170824,17.4,17.62,17,17.14,28600
AMRN,D,20170824,3.05,3.17,3.05,3.15,1224300
AMRS,D,20170824,2.41,2.45,2.34,2.38,121400
AMSC,D,20170824,3.71,3.8,3.66,3.74,51700
AMSF,D,20170824,54.6,54.875,54.4,54.7,36800
AMSWA,D,20170824,9.8,9.81,9.56,9.7,65800
AMTD,D,20170824,43.39,43.545,43.05,43.33,1623900
AMTX,D,20170824,1.05,1.08,0.91,0.95,71300
AMWD,D,20170824,80.65,81.25,79.05,79.15,230500
AMZN,D,20170824,957.42,959,941.14,952.45,5195700
ANAB,D,20170824,21.33,22.65,21.05,22.28,154700
ANAT,D,20170824,117.65,117.9,117.06,117.34,23400
ANCB,D,20170824,25.1,25.16,25.1,25.1,5700
ANCX,D,20170824,25.1,25.57,24.905,25.48,20800
ANDA,D,20170824,10.1,10.1,10.1,10.1,0
ANDAR,D,20170824,0.49,0.49,0.49,0.49,100
ANDAU,D,20170824,10.62,10.62,10.62,10.62,0
ANDAW,D,20170824,0.32,0.32,0.32,0.32,0
ANDE,D,20170824,31.7,31.7,31.025,31.15,66200
ANGI,D,20170824,12.38,12.45,12.125,12.3,576500
ANGO,D,20170824,16.53,16.74,16.53,16.69,101400
ANIK,D,20170824,52.63,52.94,51.86,52.7,60900
ANIP,D,20170824,45.33,46.77,45.33,46.47,76700
ANSS,D,20170824,127.43,127.795,126.34,127.13,253700
ANTH,D,20170824,1.3,1.34,1.29,1.3,156700
ANY,D,20170824,3.74,3.98,3.56,3.98,52800
AOBC,D,20170824,17.87,18.07,17.75,17.76,994700
AOSL,D,20170824,15.56,15.96,15.46,15.56,67800
APDN,D,20170824,1.96,2.1,1.96,2.09,89000
APDNW,D,20170824,0.49,0.5,0.46,0.46,159500
APEI,D,20170824,18,18.3,17.75,17.8,35600
APEN,D,20170824,4.2,4.21,3.81,3.93,60200
APLP,D,20170824,13.65,13.715,13.501,13.62,54600
APOG,D,20170824,41.21,42.09,40.71,41.06,1093800
APOP,D,20170824,7.08,7.27,7.06,7.23,4200
APOPW,D,20170824,1.9,1.9,1.86,1.86,400
APPF,D,20170824,41.5,42,41.375,41.8,142100
APPN,D,20170824,21.41,21.86,20.9,21.42,121000
APPS,D,20170824,1.2,1.21,1.15,1.18,281800
APRI,D,20170824,1.53,1.72,1.5,1.61,882300
APTI,D,20170824,16.94,17,16.85,16.97,248500
APTO,D,20170824,1.45,1.48,1.36,1.39,309300
APVO,D,20170824,1.45,1.5,1.31,1.34,275300
APWC,D,20170824,2.99,2.99,2.99,2.99,0
AQB,D,20170824,7.1,7.27,7.1,7.24,6900
AQMS,D,20170824,7.79,7.98,7.51,7.55,124100
AQXP,D,20170824,14.64,15.08,14.64,14.75,69100
ARAY,D,20170824,4.15,4.15,4.025,4.05,487400
ARCB,D,20170824,25.7,25.82,25.1,25.25,143800
ARCC,D,20170824,16.12,16.19,16.025,16.14,1488600
ARCI,D,20170824,1.4,1.52,1.25,1.3,1632700
ARCW,D,20170824,2.3,2.3,2.3,2.3,1400
ARDM,D,20170824,1.22,1.33,1.19,1.19,18600
ARDX,D,20170824,5.15,5.3,4.95,5.3,161400
AREX,D,20170824,2.47,2.53,2.42,2.5,347200
ARGS,D,20170824,0.2,0.22,0.19,0.2,2238100
ARGX,D,20170824,20.5,20.77,20.1,20.77,53800
ARII,D,20170824,35.74,35.865,35.41,35.61,40500
ARIS,D,20170824,7.1,7.1,7.07,7.09,13600
ARKR,D,20170824,23.3,23.33,23.3,23.3,1300
ARLP,D,20170824,18,18.1,17.65,17.85,303400
ARLZ,D,20170824,1.12,1.15,1.11,1.13,197000
ARNA,D,20170824,20.89,22.22,20.75,22.13,729500
AROW,D,20170824,32.05,32.3,31.8,31.95,8200
ARQL,D,20170824,1.04,1.06,1.02,1.05,44000
ARRS,D,20170824,27,27.15,26.64,27.05,859800
ARRY,D,20170824,9.5,10.11,9.42,9.99,5694800
ARTNA,D,20170824,35.97,36.97,35.85,36.88,36100
ARTW,D,20170824,2.12,2.15,2.05,2.05,9700
ARTX,D,20170824,3.35,3.35,3.25,3.35,148000
ARWR,D,20170824,2.25,2.83,2.22,2.81,4943200
ASBB,D,20170824,43.85,44.2,43.555,44.2,3400
ASCMA,D,20170824,10.69,10.78,10.55,10.61,48100
ASET,D,20170824,28.035,28.035,27.95,27.95,1300
ASFI,D,20170824,7.5,8.25,7.5,8.1,18200
ASMB,D,20170824,26.35,26.9,26.35,26.59,23900
ASML,D,20170824,153.29,153.9,152.71,153.45,400100
ASNA,D,20170824,1.98,2.13,1.98,2.06,2016000
ASND,D,20170824,27.1,27.84,27.04,27.67,11900
ASPS,D,20170824,19.84,20.48,19.59,20.37,178700
ASPU,D,20170824,5.99,6,5.67,5.97,9500
ASRV,D,20170824,3.95,3.95,3.85,3.9,2800
ASTC,D,20170824,0.76,0.78,0.7,0.78,62100
ASTE,D,20170824,46.93,46.93,46.41,46.51,57400
ASUR,D,20170824,11.57,11.835,11.15,11.32,167600
ASV,D,20170824,8.05,8.67,8.05,8.26,30800
ASYS,D,20170824,9.97,10.45,9.97,10.37,96500
ATACU,D,20170824,10.05,10.08,10.05,10.08,1400
ATAI,D,20170824,4.74,4.74,4.61,4.62,1600
ATAX,D,20170824,6.15,6.2,6.1,6.15,66200
ATEC,D,20170824,1.93,1.96,1.93,1.95,15900
ATHN,D,20170824,139.2,140.86,138.3,139.04,257500
ATHX,D,20170824,1.64,1.66,1.61,1.63,464600
ATLC,D,20170824,2.41,2.455,2.36,2.39,13900
ATLO,D,20170824,27.15,27.15,27.05,27.15,2800
ATNI,D,20170824,59.83,60.45,59.46,60.09,43900
ATNX,D,20170824,16,16,15.55,15.97,40300
ATOM,D,20170824,4.39,4.45,4.36,4.45,16200
ATOS,D,20170824,0.42,0.45,0.41,0.45,746600
ATRA,D,20170824,13.55,14.15,13.45,13.8,190800
ATRC,D,20170824,21.92,21.99,21.42,21.63,171500
ATRI,D,20170824,618,618,612.505,617.9,2200
ATRO,D,20170824,26.1,26.4,25.99,26.07,164000
ATRS,D,20170824,3.1,3.15,3.07,3.12,543900
ATSG,D,20170824,21.31,21.32,20.84,21.02,212800
ATTU,D,20170824,6.4,6.59,6.31,6.53,10500
ATVI,D,20170824,64.31,64.45,62.8,63.43,3906500
ATXI,D,20170824,6.33,6.5,6.27,6.5,12000
AUBN,D,20170824,36.055,36.055,36.05,36.05,800
AUDC,D,20170824,6.6,6.75,6.58,6.66,48300
AUPH,D,20170824,6.01,6.12,5.99,6.07,748300
AVAV,D,20170824,38.63,39.31,38.4,38.96,185200
AVDL,D,20170824,9.12,9.49,9.12,9.29,61600
AVEO,D,20170824,3.59,3.595,3.41,3.5,4020400
AVGO,D,20170824,258.67,259.36,251.1,255.05,5211800
AVGR,D,20170824,0.3,0.318,0.285,0.297,209500
AVHI,D,20170824,14.75,15,14.7,14.9,91500
AVID,D,20170824,4.37,4.58,4.37,4.45,184500
AVIR,D,20170824,0.59,0.64,0.58,0.625,193900
AVNW,D,20170824,15.75,15.91,15.62,15.64,16400
AVXL,D,20170824,4.52,4.58,4.42,4.53,260100
AVXS,D,20170824,95.74,98.79,95.61,98.66,402500
AWRE,D,20170824,4.9,5.05,4.9,5.05,19000
AXARW,D,20170824,0.08,0.09,0.08,0.08,137700
AXAS,D,20170824,1.68,1.75,1.65,1.74,664500
AXDX,D,20170824,22.7,23.45,22.05,22.2,357600
AXGN,D,20170824,15.95,16.675,15.9,16.35,388800
AXSM,D,20170824,4.75,4.95,4.705,4.85,76200
AXTI,D,20170824,7.65,7.75,7.4,7.5,300200
AZPN,D,20170824,60.92,61.06,60.32,60.46,347200
AZRX,D,20170824,3.56,3.88,3.53,3.87,64900
BABY,D,20170824,32.4,32.9,32.025,32.8,320100
BANF,D,20170824,50.45,50.45,49.8,50.05,29700
BANR,D,20170824,55.87,55.87,55.17,55.63,80900
BANX,D,20170824,20.12,20.23,20.12,20.15,3200
BASI,D,20170824,1.64,1.64,1.55,1.58,34300
BATRA,D,20170824,23.55,23.89,23.35,23.84,26800
BATRK,D,20170824,23.72,23.96,23.5,23.88,98700
BBBY,D,20170824,27.95,28.5,27.42,27.48,2735700
BBC,D,20170824,25,25.44,25,25.44,3900
BBGI,D,20170824,8.7,9.1,8.7,9.1,10100
BBH,D,20170824,127.12,127.685,126.32,127.54,12700
BBOX,D,20170824,3.4,3.45,3.3,3.3,155500
BBP,D,20170824,38.67,38.67,38.28,38.45,6400
BBRG,D,20170824,2.8,3.025,2.8,2.9,130600
BBRY,D,20170824,8.89,8.99,8.81,8.95,2581700
BBSI,D,20170824,49.5,49.73,48.67,48.82,25100
BCAC,D,20170824,9.8,9.8,9.79,9.8,8000
BCACR,D,20170824,0.34,0.34,0.34,0.34,0
BCACU,D,20170824,10.31,10.31,10.31,10.31,100
BCACW,D,20170824,0.38,0.38,0.38,0.38,100
BCBP,D,20170824,13.7,13.8,13.7,13.8,13600
BCLI,D,20170824,4.08,4.25,4.02,4.21,62900
BCOM,D,20170824,14.61,15.165,14.61,15.165,800
BCOR,D,20170824,23.35,23.5,22.95,23.4,335000
BCOV,D,20170824,6.85,7,6.8,6.9,100800
BCPC,D,20170824,74.03,74.42,73.34,74.35,67600
BCRX,D,20170824,4.42,4.83,4.36,4.83,945000
BCTF,D,20170824,14,14,14,14,5200
BDGE,D,20170824,31.3,31.35,30.95,31.2,31600
BDSI,D,20170824,3.15,3.2,3.075,3.2,211400
BEAT,D,20170824,36.55,36.8,35.4,35.8,297300
BEBE,D,20170824,5.45,5.45,5.13,5.13,3600
BECN,D,20170824,43,45.63,42.75,43.54,3107800
BELFA,D,20170824,22.65,22.65,22.65,22.65,0
BELFB,D,20170824,25.5,25.7,24.85,24.9,23100
BFIN,D,20170824,15.88,15.95,15.78,15.86,21700
BFIT,D,20170824,15.93,15.94,15.91,15.94,1600
BGCP,D,20170824,12.81,12.96,12.81,12.85,686400
BGFV,D,20170824,7.9,8.3,7.9,8.05,1087800
BGNE,D,20170824,69.41,70.28,69.07,69.93,152700
BHACR,D,20170824,0.27,0.27,0.27,0.27,100
BHACW,D,20170824,0.15,0.15,0.15,0.15,31100
BHBK,D,20170824,18.6,18.6,18.4,18.5,30300
BHF,D,20170824,56.39,56.64,55.11,55.32,1312100
BIB,D,20170824,53.31,54.23,52.66,54.08,434300
BICK,D,20170824,28.21,28.28,28.21,28.27,2900
BIDU,D,20170824,226.12,226.75,224.11,224.86,2151400
BIIB,D,20170824,283.66,285.8,281.8,285.45,801400
BIOC,D,20170824,1.16,1.19,1.13,1.18,117600
BIOL,D,20170824,0.58,0.58,0.55,0.57,111300
BIOP,D,20170824,3.49,3.61,3.49,3.6,6300
BIOS,D,20170824,2.85,2.87,2.77,2.84,2070900
BIS,D,20170824,24,24.19,23.485,23.58,67900
BIVV,D,20170824,55.55,55.74,54.97,55.6,762400
BJRI,D,20170824,31.6,32.25,31.35,31.35,336800
BKCC,D,20170824,7.2,7.23,7.16,7.17,173000
BKEP,D,20170824,5.65,5.7,5.65,5.65,11400
BKEPP,D,20170824,7.6,7.6,7.53,7.53,500
BKMU,D,20170824,9.15,9.25,9.1,9.2,47200
BKSC,D,20170824,18.77,18.77,18.77,18.77,100
BKYI,D,20170824,3.28,3.42,3.25,3.41,5300
BL,D,20170824,29.01,29.44,29.01,29.2,190900
BLBD,D,20170824,18,18.05,17.7,17.75,13000
BLCM,D,20170824,7.96,8.85,7.91,8.62,1041100
BLDP,D,20170824,2.76,2.79,2.74,2.76,415300
BLDR,D,20170824,14.94,14.95,14.54,14.64,804100
BLFS,D,20170824,4.95,5.02,4.38,4.4,363800
BLIN,D,20170824,2.61,2.72,2.58,2.69,2700
BLKB,D,20170824,83.65,83.72,82.595,83.27,178200
BLMN,D,20170824,17.25,17.38,17.08,17.08,1577400
BLMT,D,20170824,27.75,27.9,27.6,27.85,4000
BLPH,D,20170824,1.1,1.13,1.07,1.12,190100
BLRX,D,20170824,1.04,1.05,1.02,1.02,120900
BLUE,D,20170824,96.35,98.95,94.3,98.6,378000
BLVD,D,20170824,10.02,10.02,9.98,9.98,2700
BLVDU,D,20170824,10.44,10.44,10.44,10.44,0
BLVDW,D,20170824,0.75,0.775,0.725,0.75,107100
BMCH,D,20170824,18.9,18.9,18.45,18.55,531600
BMLA,D,20170824,33.76,33.76,33.76,33.76,0
BMLP,D,20170824,49.7,49.7,49.7,49.7,0
BMRA,D,20170824,2.65,2.65,2.605,2.605,3600
BMRC,D,20170824,63.75,65.85,63.5,65.15,33400
BMRN,D,20170824,81.54,82.56,80.83,82.45,779100
BMTC,D,20170824,40.6,40.8,40.35,40.75,26200
BNCL,D,20170824,15.05,15.05,14.8,14.95,82100
BNDX,D,20170824,54.79,54.84,54.76,54.8,548100
BNFT,D,20170824,29.4,29.85,28.9,29.05,132600
BNSO,D,20170824,2.14,2.15,2.03,2.12,34700
BNTC,D,20170824,2.02,2.1,1.98,2,34100
BOBE,D,20170824,66.19,66.19,62,62.19,700900
BOCH,D,20170824,10.15,10.3,10.1,10.25,23500
BOFI,D,20170824,26.79,26.99,26.48,26.5,441600
BOFIL,D,20170824,26,26,25.88,25.88,900
BOJA,D,20170824,13.4,13.625,13.3,13.35,146100
BOKF,D,20170824,80.51,81.24,80.51,81.02,79800
BOKFL,D,20170824,25.63,25.7,25.46,25.6,14100
BOLD,D,20170824,18.75,20.8,18.44,20.72,1768100
BOMN,D,20170824,14.95,15.35,14.5,15,21700
BONT,D,20170824,0.67,0.725,0.64,0.652,311700
BOOM,D,20170824,12.65,12.85,12.6,12.85,32200
BOSC,D,20170824,1.85,1.85,1.79,1.79,700
BOTJ,D,20170824,15.3,15.3,15.3,15.3,0
BOTZ,D,20170824,20.3,20.315,20.21,20.25,447300
BPFH,D,20170824,14.65,14.8,14.65,14.7,197500
BPFHP,D,20170824,25.54,25.7,25.54,25.7,2400
BPFHW,D,20170824,8.35,8.35,8.35,8.35,0
BPMC,D,20170824,50.83,52.34,49.88,51.78,415500
BPOP,D,20170824,39.65,40.01,39.41,39.98,321500
BPOPM,D,20170824,23.16,23.3,22.89,23.19,2200
BPOPN,D,20170824,24.59,24.59,24.41,24.5,15300
BPRN,D,20170824,32,32.4,31.97,32.4,30700
BPTH,D,20170824,0.274,0.28,0.265,0.274,341000
BRCD,D,20170824,12.25,12.275,12.1,12.19,6654800
BREW,D,20170824,18.75,18.75,18.075,18.25,66400
BRID,D,20170824,11.75,11.75,11.75,11.75,0
BRKL,D,20170824,14.3,14.3,14.2,14.25,298900
BRKR,D,20170824,28.13,28.47,28.07,28.34,360300
BRKS,D,20170824,25.37,25.45,24.86,25.07,261800
BRQS,D,20170824,5.47,6.15,5.1,5.95,25500
BRQSW,D,20170824,0.36,0.4,0.36,0.4,54000
BSET,D,20170824,35.1,35.1,34.675,34.8,14900
BSF,D,20170824,10.26,10.28,10.25,10.27,513100
BSFT,D,20170824,43.2,43.65,42.95,43.35,174500
BSPM,D,20170824,1.4,1.45,1.36,1.37,20000
BSQR,D,20170824,4.85,4.95,4.8,4.85,13600
BSRR,D,20170824,25.31,25.72,25.2,25.37,9000
BSTC,D,20170824,45.7,46.3,45,45.88,8100
BSTG,D,20170824,0.35,0.39,0.32,0.33,5314900
BTEC,D,20170824,27.78,27.78,27.78,27.78,0
BUFF,D,20170824,25.9,26.21,25.87,25.95,2012700
BUR,D,20170824,0.61,0.61,0.52,0.52,22900
BUSE,D,20170824,29.1,29.1,28.64,28.82,76200
BV,D,20170824,4.65,4.7,4.6,4.65,173800
BVSN,D,20170824,3.95,4,3.7,4,6300
BVXV,D,20170824,7.78,7.78,7.55,7.56,6300
BVXVW,D,20170824,2.285,2.29,2.285,2.29,800
BWEN,D,20170824,2.98,3.23,2.96,3.18,98700
BWFG,D,20170824,31.9,32,31.56,31.75,3400
BWINA,D,20170824,21.83,21.83,21.83,21.83,0
BWINB,D,20170824,22.15,22.2,22,22.1,29600
BWLD,D,20170824,105.35,106.1,104,104.05,326400
BYBK,D,20170824,7.95,8,7.95,7.975,17600
BYFC,D,20170824,2.41,2.47,2.4,2.4,2200
BYSI,D,20170824,38.25,38.74,36.25,36.75,26300
BZUN,D,20170824,29.31,30.3,28.15,28.81,5208000
CA,D,20170824,32.47,32.62,32.33,32.42,2652900
CAAS,D,20170824,5.23,5.35,5.07,5.13,65100
CAC,D,20170824,39.24,39.34,39.03,39.17,17600
CACC,D,20170824,267.85,268.51,265.21,268.04,118700
CACG,D,20170824,25.34,25.34,25.24,25.24,200
CACQ,D,20170824,18,18.65,17.61,18.2,301000
CADC,D,20170824,1.65,1.65,1.65,1.65,300
CAFD,D,20170824,14.76,14.905,14.711,14.82,66900
CAKE,D,20170824,41.5,41.78,40.96,41.04,1058000
CALA,D,20170824,15.3,15.6,15.15,15.35,363500
CALD,D,20170824,24.1,24.575,23.75,24.35,466900
CALI,D,20170824,2.05,2.09,2.03,2.05,18500
CALL,D,20170824,7.525,7.525,7.35,7.4,132000
CALM,D,20170824,34.8,34.9,34.175,34.4,244600
CAMP,D,20170824,18.31,18.67,18.2,18.58,184400
CAMT,D,20170824,4.39,4.4,4.3,4.33,158400
CAPR,D,20170824,1.02,1.03,1,1.03,131400
CAR,D,20170824,33.11,33.99,33.09,33.8,1319000
CARA,D,20170824,12.97,13.23,12.88,13.13,932300
CARB,D,20170824,19.25,19.35,18.8,19.05,303800
CARO,D,20170824,33.54,33.64,33.45,33.6,74200
CART,D,20170824,8.25,8.25,8.25,8.25,8500
CARV,D,20170824,2.55,2.55,2.5,2.5,300
CARZ,D,20170824,37.455,37.5,37.455,37.455,700
CASC,D,20170824,3.58,3.66,3.53,3.63,309900
CASH,D,20170824,70,70.65,69,69.1,33500
CASI,D,20170824,0.97,0.99,0.97,0.97,2300
CASM,D,20170824,0.92,0.96,0.92,0.95,11500
CASS,D,20170824,61.31,61.98,60.58,60.94,28300
CASY,D,20170824,105.38,105.65,102.73,102.94,440700
CATB,D,20170824,1.21,1.24,1.2,1.23,72300
CATH,D,20170824,30.18,30.18,29.99,29.99,5000
CATM,D,20170824,25.45,25.89,25.35,25.37,260600
CATS,D,20170824,4.88,4.88,4.67,4.83,37800
